6	12947
6	141605
5428	141606
6	27859
6	141607
2	3
6	141608
6	18778
6	141609
6	141610
2	7225
2	8778
6	141611
6	141612
6	43442
2	141613
5	141614
2	8778
2	141615
2	141615
6	139196
6	141616
6344	58660
2	30063
2	64135
5	141617
2	66696
6	141618
2	78037
2	78037
2	141619
2	141620
7	31
7	31
6	141621
6	141622
6	141622
6	141623
6	36836
9	141624
6	141625
9	21197
9	141626
6011	23098
9	141627
6011	23098
9	141626
6011	23098
9	16299
9	141628
9	129081
7	10709
9	141629
9	141630
6	31530
5	141631
7	141632
15	141633
12	141634
13	141635
5	141636
5	141637
15	136058
5	141637
13	141638
12	59
13	141639
12	59
15	33789
13	141639
12	95744
13	141638
13	141640
1	141641
6345	141642
6345	141642
13	141643
16	141644
5806	65408
13	39503
17	141645
17	141645
17	141646
6167	141647
17	141648
17	141649
6167	141650
13	141651
17	141652
13	141653
6167	141654
17	141655
6167	141656
17	141655
6167	102140
16	141657
17	141658
17	141659
6346	132050
17	141660
19	141661
13	141662
6346	141663
19	9176
19	26771
17	12085
6346	83853
6346	141664
19	141665
6346	31064
19	141666
19	141667
17	141668
17	141669
17	141670
17	141671
17	141672
19	141673
19	141674
19	141675
17	141676
17	141677
13	141678
13	141679
17	141680
13	141681
13	141682
17	141683
13	44749
13	141684
13	141685
17	141686
17	141686
13	141687
13	141688
6049	141689
17	141690
17	141672
17	141691
17	141692
17	141693
22	141694
22	141695
17	141696
24	141697
24	141698
17	141699
13	93
22	141700
17	141701
17	141702
13	141703
13	141703
22	141704
24	141705
24	18875
24	141706
24	18875
24	18875
22	141707
24	141708
17	141709
22	58022
17	141710
17	141711
17	141712
17	141713
17	141714
17	141715
17	141716
23	141717
24	141718
23	141719
6347	141720
23	141721
23	141722
23	141722
23	141723
17	47500
23	107550
17	141724
25	141725
5124	141726
6348	141727
25	141728
22	141729
17	141730
17	141731
17	141731
21	141732
5124	141733
20	141734
22	141735
5124	141736
17	141737
5124	33865
25	141738
6348	141739
6348	141740
20	9626
20	102926
20	9626
20	141741
22	141742
25	141743
17	141744
17	141745
17	141744
17	141746
17	141747
17	141748
17	141747
25	141749
5124	141750
25	141751
22	141752
26	49256
22	141753
29	141754
29	141755
22	141756
5124	23965
22	141757
22	141758
5124	141759
5124	141760
21	34937
22	141761
32	141762
29	141763
27	141764
22	141765
5434	141766
32	141767
29	171
27	141768
6349	141769
22	141770
6350	90367
6350	141771
6350	141772
6351	141773
22	141774
6351	141775
29	141776
5434	62940
27	141777
29	141778
29	141779
32	141780
6351	41226
29	126058
6351	141781
6351	141782
29	141783
6351	50202
6351	141782
29	141784
32	141785
6351	120794
6352	141786
6351	120794
6352	141787
6351	141788
29	141784
6352	141789
29	141790
29	141791
29	141791
6351	141792
6352	141793
6351	141794
22	141795
22	141796
22	141797
22	141798
22	141799
6351	141800
6351	141801
6351	141802
22	141803
33	141804
6353	141805
37	18391
6353	141806
33	141807
6353	141808
33	141807
6353	141806
6351	141809
37	40795
34	96698
34	96698
36	141810
32	141811
32	141811
36	141812
39	141813
38	141814
38	141815
36	228
36	108978
33	141816
36	141817
36	141818
36	141819
42	141820
36	141821
36	141822
36	141823
36	41968
36	141824
36	141825
36	32455
36	141826
36	141827
43	141828
43	141829
43	251
43	141830
49	141831
38	141832
36	1148
33	141833
46	141834
46	141835
46	141836
46	141834
46	141835
45	258
49	141837
48	141838
46	141839
46	141840
33	141841
33	141841
33	141841
46	46737
49	141842
49	141843
46	91222
45	75852
49	141844
49	141845
46	15123
49	141846
33	141847
33	67384
46	141848
49	141849
46	141850
46	141851
49	141852
50	141853
50	141854
46	141855
47	15933
47	27149
46	141856
6354	47966
6354	141857
6354	141858
6354	141857
6355	141859
53	141860
6356	141861
55	32533
56	82759
55	70125
56	141862
56	76873
56	141863
55	141864
56	141865
56	35698
56	141866
50	141867
56	141866
54	141868
55	297
54	59187
54	59187
55	141869
55	141870
54	59187
54	59187
55	141871
56	63482
55	306
56	141872
52	141873
56	141874
52	141873
50	141875
57	141876
